age,isow,co2,rsl
0.0,2.8130259999999998,284.7,-3.32
0.1,2.8130259999999998,284.7,-3.35
0.2,2.6814719999999999,284.7,-3.38
0.29999999999999999,2.5668310000000001,284.7,-3.4
0.4,2.550259000000000,284.7,-3.43
0.5,2.552509000000000,284.7,-3.46
0.6000000000000000,2.613805000000000,284.7,-3.48
0.7000000000000000,2.7547180000000000,285.2156860000000,-3.51
0.8,2.915930000000000,285.1821430000000,-3.54
0.9,3.0101170000000002,285.7,-3.56
1.0,3.1406260000000001,281.93333300000000,-3.59
1.1,3.3354360000000001,280.24117600000000,-3.62
1.2000000000000000,3.4907680000000001,280.61764699999998,-3.65
1.3,3.396123000000000,279.253125,-3.68
1.3999999999999999,3.29017400000000,276.71176500000001,-3.72
1.5,3.14515000000000,279.3607840000000,-3.75
1.6,3.1525210000000001,278.6,-3.8
1.7000000000000000,3.1097620000000,279.68,-3.85
1.8,3.121216000000000,278.19607300000001,-3.9
1.8999999999999999,3.106049000000000,278.09789400000000,-3.97
2.0,3.0975199999999998,277.99658300000,-4.04
2.1,3.2052939999999999,276.8905720000000,-4.12
2.2,3.2932190000000001,276.7486030000000,-4.21
2.2999999999999998,3.382326000000000,276.9084170000000,-4.29
2.3999999999999999,3.317769000000000,277.5133880000000,-4.36
2.5,3.1986569999999999,277.82990200000000,-4.43
2.6,3.075083000000000,274.9998350000000,-4.51
2.7,3.048495000000000,278.37331100000000,-4.58
2.7999999999999998,3.0517539999999999,275.3679460000000,-4.62
2.8999999999999999,3.0373079999999999,274.7265420000000,-4.69
3.0,3.019783000000000,275.49274600000001,-4.76
3.1,2.9518719999999998,274.97048699999999,-4.83
3.2,2.8741550000000000,275.8242260000000,-4.92
3.2999999999999998,2.731176000000000,273.19972100000001,-5.01
3.3999999999999999,2.5833420000000000,273.81006500000001,-5.09
3.5,2.431955000000000,274.708878000000,-5.16
3.6,2.3285360000000002,274.0123560000000,-5.24
3.7,2.2502450000000001,272.9128380000000,-5.31
3.7999999999999998,2.2150029999999998,271.59066100000001,-5.38
3.8999999999999999,2.2302149999999998,275.2056750000000,-5.46
4.0,2.3328329999999999,274.18885799999998,-5.54
4.0999999999999996,2.372489000000000,271.89849900000002,-5.640000000000000
4.2,2.4597400000000000,271.6060120000000,-5.73
4.3,2.470464000000000,272.3217360000000,-5.83
4.4,2.493946000000000,271.34907600000003,-5.92
4.5,2.448920000000000,270.985481000000,-6.04
4.5999999999999996,2.4875370000000001,269.1919870000000,-6.160000000000000
4.7,2.5350100000000002,270.5114390000000,-6.28
4.800000000000000,2.514556000000000,271.35425900000001,-6.390000000000000
4.9,2.5403630000000001,270.81445000000002,-6.52
5.0,2.624556000000000,269.17744399999998,-6.65
5.0999999999999996,2.6750440000000002,268.720295000000,-6.790000000000000
5.2,2.609161000000000,269.63092999999998,-6.93
5.300000000000000,2.4354719999999999,267.86548699999997,-7.120000000000000
5.4,2.29064900000000,265.27584400000001,-7.32
5.5,2.17671600000000,265.2189420000000,-7.5
5.5999999999999996,2.086134000000000,267.4196660000000,-7.710000000000000
5.7,2.038818000000000,266.4554500000000,-7.92
5.800000000000000,1.95161000000000,265.7208470000000,-8.150000000000000
5.9,1.9557070000000001,262.69969900000001,-8.39
6.0,1.9949180000000000,266.69172099999997,-8.63
6.0999999999999996,2.0349640000000000,265.38950599999998,-8.880000000000001
6.2,2.018657000000000,264.3053950000000,-9.14
6.300000000000000,2.0803729999999998,263.2212850000000,-9.420000000000000
6.4,2.202541000000000,261.2291590000000,-9.7
6.5,2.301692000000000,261.1422640000000,-9.99
6.5999999999999996,2.203338000000000,260.6727650000000,-10.279999999999999
6.7,2.0833719999999998,259.94102800000002,-10.59
6.800000000000000,2.025548000000000,262.3194000000000,-10.890000000000001
6.9,2.0472999999999999,261.8470900000000,-11.22
7.0,2.0603240000000000,257.88060200000001,-11.56
7.0999999999999996,2.048630000000000,259.5367870000000,-11.920000000000000
7.2,1.946072000000000,262.3971700000000,-12.29
7.300000000000000,1.8581859999999999,264.69999999999999,-12.650000000000000
7.4,1.778112000000000,263.7,-13.04
7.5,1.7725340000000001,264.30000000000001,-13.44
7.5999999999999996,1.7498750000000001,264.6000000000000,-13.960000000000001
7.7,1.700666000000000,262.6,-14.39
7.800000000000000,1.6717050000000000,261.2000000000000,-14.840000000000000
7.9,1.6126609999999999,262.6,-15.28
8.0,1.5314820000000000,263.78,-15.73
8.1,1.4162820000000000,263.6333330000000,-16.2
8.199999999999999,1.4118160000000000,265.14999999999998,-16.680000000000000
8.3,1.5307420000000000,264.1,-17.16
8.4,1.6679180000000000,264.5,-17.67
8.5,1.7137530000000001,265.9,-18.18
8.6,1.6099040000000000,266.1,-18.73
8.699999999999999,1.5547850000000001,266.7000000000000,-19.29000000000000
8.8,1.4951920000000001,266.60000000000002,-19.86
8.9,1.5925520000000000,264.2,-20.47
9.0,1.6982349999999999,264.4,-21.13
9.1,1.9131990000000001,266.45,-21.87
9.199999999999999,2.018206000000000,262.7,-22.600000000000001
9.3,2.120140000000000,264.45,-23.31
9.4,1.9386829999999999,268.3,-24.03
9.5,1.7055499999999999,268.075,-24.79
9.600000000000000,1.3721779999999999,268.8000000000000,-25.570000000000000
9.699999999999999,1.3125780000000000,268.85,-26.44000000000000
9.8,1.287514000000000,269.3,-27.41
9.9,1.1915340000000001,268.0,-28.43
10.0,1.0995729999999999,272.19999999999999,-29.59
10.100000000000000,0.9712570000000000,268.96666699999997,-30.969999999999999
10.199999999999999,0.9716680000000000,270.14,-32.479999999999997
